,x,y,z,cluster,track_title,album_title,artist_name,genre_parent,year
0,-15.671057,75.00546,109.81908,0.0,Old Wild Men,10 A.M.,MUTE,Hip-Hop,2012
1,0.96323854,0.6017822,-1.196779,0.0,Neanderthal Drum,10 A.M.,MUTE,Hip-Hop,2012
2,-28.656506,-29.502886,-13.156504,0.0,Slang To Riches,Pavement Politics XE,MUTE,Hip-Hop,2012
3,3.2373183,-190.79915,21.855618,0.0,They Got What They Want,Pavement Politics XE,MUTE,Hip-Hop,2012
4,56.312023,40.842052,-48.117638,0.0,Too Much Saffron,UNkilling Time,MUTE,Hip-Hop,2012
5,0.9649749,0.60064507,-1.203316,0.0,La Ola Es Mia,Toussaint Morrison Is Not My Boyfriend,Toussaint Morrison,Hip-Hop,2012
6,52.491394,-49.874393,-42.389446,0.0,It's Gonna Happen,Toussaint Morrison Is Not My Boyfriend,Toussaint Morrison,Hip-Hop,2012
7,23.948547,-79.745766,160.16795,0.0,Jane,Toussaint Morrison Is Not My Boyfriend,Toussaint Morrison,Hip-Hop,2012
8,-2.5069883,-7.055458,1.718913,6.0,I'm Into It,Toussaint Morrison Is Not My Boyfriend,Toussaint Morrison,Hip-Hop,2012
9,-6.873813,-58.35952,71.19821,0.0,Hailey Says You're Out,Edo,Toussaint Morrison,Hip-Hop,2014
10,1.5272897,-6.050317,-84.336716,0.0,Villain With A Thousand Faces,Edo,Toussaint Morrison,Hip-Hop,2014
11,54.36936,7.64941,9.056357,0.0,"How Do You Say ""Welcome to Milwaukee"" in Korean? (interlude)",Fast Times At Trillmont High,Toussaint Morrison,Hip-Hop,2013
12,32.555046,-168.97377,-67.38588,0.0,Alternative Cool,Fast Times At Trillmont High,Toussaint Morrison,Hip-Hop,2013
13,-56.134754,-81.94595,13.650045,0.0,West Benders,Fast Times At Trillmont High,Toussaint Morrison,Hip-Hop,2013
14,-6.06201,1.6823677,-0.27396944,0.0,Kamikaze,Complexo de Inferioridade,J-K,Hip-Hop,2009
15,0.5699559,1.7978901,-6.9509807,0.0,Folha de Outono,Complexo de Inferioridade,J-K,Hip-Hop,2009
16,-2.381502,-4.8141427,2.673475,5.0,Feel Me,The Catastrophic Connection,Luck & Ripps,Hip-Hop,2009
17,-2.520292,-0.4404138,5.9094195,4.0,Nothin' To Fuck With,The Catastrophic Connection,Luck & Ripps,Hip-Hop,2009
18,-2.4303706,1.3243988,-4.5234666,0.0,GoodLookN,SIX ONNA 7,Tha Silent Partner,Hip-Hop,2016
19,5.315107,-4.346496,-3.3169003,0.0,Needy Ass,SIX ONNA 7,Tha Silent Partner,Hip-Hop,2016
20,-8.024009,1.5279006,2.5831044,1.0,Pusher For Record,SIX ONNA 7,C-Doc,Hip-Hop,2016
21,-3.787149,-1.0388682,-6.774381,0.0,Take Your Poison,SIX ONNA 7,C-Doc,Hip-Hop,2016
22,5.230116,-5.42801,3.0576332,0.0,Beantown To L-Town (Featuring Life MC of Phi Life Cypher),Tha Complete Platters Sessions XE,Tha Silent Partner,Hip-Hop,2010
23,-1.264188,3.9765978,-2.2207966,0.0,Loaded Groove Patch,Tha Complete Platters Sessions XE,Tha Silent Partner,Hip-Hop,2010
24,3.2921875,1.646953,-5.3786516,0.0,Enjoy Life Interlude,Tha Complete Platters Sessions XE,Tha Silent Partner,Hip-Hop,2010
25,-8.162634,1.33098,2.4855545,1.0,Just Bowrd,Tha Complete Platters Sessions XE,Tha Silent Partner,Hip-Hop,2010
26,3.4168003,6.281639,4.4223256,0.0,Over (Outro),Tha Complete Platters Sessions XE,Tha Silent Partner,Hip-Hop,2010
27,-3.3850853,-6.1391897,-3.381445,0.0,One Day,Tha Complete Platters Sessions XE,Tha Silent Partner,Hip-Hop,2010
28,2.4587212,6.68487,-4.227719,0.0,Don't Go,Tha Complete Platters Sessions XE,Tha Silent Partner,Hip-Hop,2010
29,1.9295003,6.2846656,-5.75155,0.0,Gilltay,Tha Complete Platters Sessions XE,Tha Silent Partner,Hip-Hop,2010
30,0.17833614,-6.5350523,-4.4332547,0.0,Wide Mouf'd (Part 1),SIX ONNA 7 (Part 2),Tha Silent Partner,Hip-Hop,2013
31,0.46539256,-1.626856,-7.6872373,0.0,run on (7-4-2008),"Platters, Act 6: Plates From '08",Tha Silent Partner,Hip-Hop,2015
